tweets
"Still buzzing from those 3 shows in Tampa!!! Thank you to the unforgettably epic crowds and to @aaron_dessner for coming out to play twice with me, we’ve been dreaming about that for so long!! So grateful for the memories we’re making on this tour🥲
📷: @OctavioJones @GettyImages https://t.co/dLJElxGu9e"
"Just had the wildest three nights in Arlington, TX. So proud to be the first artist to play 3 nights at AT&amp;T Stadium &amp; basically just wanted to say I’m counting down the seconds til we hit the stage in Tampa next week. Love u mean it seriously wow 😮
📷: @OwarVega / @GettyImages https://t.co/RejFtaUyhQ"
Last night in Vegas Marcus Mumford showed up and surprised the crowd with ‘Cowboy Like Me’ so like 🤩🤯😝! Thank you to @marcusmumford and that glorious crowd. See you next weekend in Texas! https://t.co/UzDL6WCiwq
"Vegas, you were WILD. The crowd of childhood dreams ✨ What’s there to do but play again tonight? Here’s a few pics by Ethan Miller/@GettyImages and a video my dad took! https://t.co/8RcMZn2vlv https://t.co/PM59BNSBYa"
"WELL. Last night was a rush. Thank you to everyone in that glorious Glendale night 2 crowd for giving us all you had and more. Counting down the hours til we get to play again. See you in Vegas 😆

IG 📷 
@ShearerPhoto 
@GettyImages https://t.co/dsG4197X0L"
"I miss you like it was the very first night. Good thing we’re about to go onstage and do the whole thing again tonight. See you 🔜 Glendale, Erazona☺️

📷: @ShearerPhoto, Kevin Winter, @GettyImages https://t.co/i8FfeuG1B2"
In my Eras era. 💅 https://t.co/r2E2PWVm6Z
"I can’t put into words what this means to me. For the @RecordingAcad and my peers to acknowledge me as a director, and in doing so, acknowledge my work to try and reclaim my music… I’m blown away. Thank you to all the fans who willed this to happen. https://t.co/nVoR1myP1f"
EGOT BABYYYYYYY 💕💕💕 https://t.co/OaNwfCjyWc
"This was the first video I wrote out of the 3 that have been released, and this one really helped me conceptualize the world and mood of Midnights, like a sultry sleepless 70’s fever dream. Hope you like it 😁

https://t.co/auFTSVBP0A"
"The Lavender Haze video is out now. There is lots of lavender. There is lots of haze. There is my incredible costar @laith_ashley who I absolutely adored working with.

https://t.co/auFTSVBP0A https://t.co/RXWPuKvkxK"
"Meet me at midnight…

…for the Lavender Haze music video premiere (!!!!!!!!!!!!!) https://t.co/auFTSVBP0A https://t.co/1zy4BhKWbK"
Thanks for all the beautiful wishes today!! I spent my 33rd birthday in the studio of course 😏 Wouldn’t have it any other way. Love you! https://t.co/axPfJT0d9A
@BBCR1 @DermotKennedy @BBCSounds WOW - Absolutely love this 🥰👏
"Anti hero but make it acoustic 🥲

Now at https://t.co/WdrCmvMfo8 https://t.co/UgRTbfj0LN"
"Take your self loathing to the dancefloor! 2 more Anti Hero remixes available on my site until 10pm ET tonight 🙃

https://t.co/WdrCmvMfo8 https://t.co/tAYh48ILOB"
"The anti hero (Roosevelt remix) makes me feel hyped enough for an imaginary funeral brawl. It’s available on my site now!

https://t.co/WdrCmvu6a0 https://t.co/YsUfEl2vfe"
Jack’s version of ‘sexy baby’ is ‘art bro’ and we sincerely hope it confuses just as many people. Download Anti Hero featuring @bleachersmusic now at https://t.co/WdrCmvMfo8 https://t.co/52TIyZP0hf
"UM. Looks like I’ll get to see more of your beautiful faces than previously expected… we’re adding 8 shows to the tour 😆

https://t.co/KFuqvr0hhO https://t.co/4LTYSnwKJO"
"Feeling like the luckiest person alive to get to take these brilliant artists out on tour w/ me: @paramore, @beabad00bee, @phoebe_bridgers, @_girlinred_, @whereisMUNA, @HAIMtheband, @gracieabrams, @whoisgayle &amp; @OwennMusic. I can’t WAIT to see you. It’s been a long time coming 🥰"
